,names,scores,logfoldchanges,pvals,pvals_adj
0,RALGPS2,19.823406,1.5489941,1.8700939725784345e-87,4.104856269809664e-85
1,NEAT1,19.22069,1.9143832,2.4844815400160336e-82,4.362749584268155e-80
2,MARCH1,17.340637,1.3129778,2.321453371831351e-67,2.547795075584908e-65
3,POU2F2,15.193544,0.95873255,3.902355135440806e-52,3.806964232130031e-50
4,TCF4,15.086442,1.3266035,1.988819199548764e-51,1.746183257203815e-49
5,CTSS,14.383547,0.8443412,6.564214928714953e-47,4.8028172561764404e-45
6,BANK1,13.748981,0.6009523,5.165183969746897e-43,3.2393082324555536e-41
7,MS4A1,13.106685,0.39060384,3.014926568958722e-39,1.6544409547160986e-37
8,HLA-DRA,13.092347,0.16545227,3.641755586253924e-39,1.880859649841732e-37
9,MTDH,12.906711,0.9070106,4.12553379067317e-38,1.9064308780058123e-36
10,SWAP70,12.100161,0.96062815,1.054050150370793e-33,4.2066183273888924e-32
11,FTL,12.044635,0.25465697,2.069912399415904e-33,7.901665594292016e-32
12,SUB1,11.867441,0.5094976,1.7472947760679035e-32,6.392186722448413e-31
13,SSR4,10.474045,0.43467996,1.1367904007633465e-25,3.696673969889697e-24
14,AIM2,10.073443,1.670121,7.239818605323078e-24,2.191917494990918e-22
15,MEF2C,10.028367,0.72143716,1.1439328310331763e-23,3.347910085490429e-22
16,TNFRSF13C,9.978962,0.66642016,1.884285407862851e-23,5.336782542269624e-22
17,ISG20,9.629481,0.4085814,6.003197374324955e-22,1.5972143317143364e-20
18,COBLL1,9.428504,1.474267,4.159788990384738e-21,1.0742043333993528e-19
19,CRIP1,9.339293,0.99710226,9.697999940618778e-21,2.4328125565323676e-19
20,CLECL1,9.131391,1.472985,6.762525703399181e-20,1.633348260030051e-18
21,SPCS2,9.055468,0.38237533,1.3598386634919037e-19,3.061380375758696e-18
22,CCDC50,9.030454,0.9507209,1.7096145381213058e-19,3.66107698651343e-18
23,LYN,8.971192,0.70004284,2.9332283543175414e-19,5.989243011839073e-18
24,H2AFZ,8.939495,0.6611708,3.9095099569890667e-19,7.801249414173639e-18
